column,inferred_dtype,non_null,distinct,example_values,description
"2023 Home Value $100,000-$149,999 (Esri)",integer,26,26,"6155, 2249, 1510",
"2023 Home Value $150,000-$199,999 (Esri)",integer,26,26,"8522, 3614, 4589",
"2023 Home Value $200,000-$249,999 (Esri)",integer,26,26,"8301, 2307, 6809",
"2023 Home Value $250,000-$299,999 (Esri)",integer,26,26,"3941, 1049, 6343",
"2023 Home Value $300,000-$399,999 (Esri)",integer,26,26,"6589, 2721, 14452",
"2023 Home Value $400,000-$499,999 (Esri)",integer,26,26,"3870, 477, 5684",
"2023 Home Value $500,000-$749,999 (Esri)",integer,26,26,"4078, 260, 2172",
"2023 Home Value $750,000-$999,999 (Esri)",integer,26,25,"227, 25, 202",
"2023 Home Value $1,000,000-$1,499,999 (Esri)",integer,26,24,"722, 14, 354",
"2023 Home Value $1,500,000-$1,999,999 (Esri)",integer,26,22,"71, 135, 15",
"2023 Home Value $2,000,000 or greater (Esri)",integer,26,19,"179, 0, 47",
2023 Median Home Value (Esri),integer,26,26,"198422, 164776, 296780",
2023 Average Home Value (Esri),integer,26,26,"250946, 192295, 304252",
2028 Total Population (Esri),integer,26,26,"176368, 68928, 176156",
2028 Household Population (Esri),integer,26,26,"173676, 67035, 174149",
2028 Population Density (Pop per Square Mile) (Esri),float,26,26,"164.7, 96.6, 307.3",
2028 Total Households (Esri),integer,26,26,"74153, 27558, 66156",
2028 Average Household Size (Esri),float,26,18,"2.34, 2.43, 2.63",
2023-2028 Population: Compound Annual Growth Rate (Esri),float,26,25,"0.36, 0.12, 0.81",
2023-2028 Households: Compound Annual Growth Rate (Esri),float,26,26,"0.62, 0.26, 0.89",
2023-2028 Per Capita Income: Compound Annual Growth Rate (Esri),float,26,23,"2.81, 2.37, 2.49",
2023-2028 Median Household Income: Compound Annual Growth Rate (Esri),float,26,22,"1.87, 1.83, 2.43",
2028 Diversity Index (Esri),float,26,24,"60.0, 57.5, 62.0",
2028 Median Household Income (Esri),integer,26,26,"62222, 61242, 82115",
2028 Average Household Income (Esri),integer,26,26,"96972, 81355, 115118",
2028 Per Capita Income (Esri),integer,26,26,"40822, 32572, 43254",
